opponent_bot,round,cumulative_ks,is_adapting_now
Domogled 1.2,20,0.045496553447894716,0
Domogled 1.2,21,0.044379655113433114,0
Domogled 1.2,22,0.04470424909141524,0
Domogled 1.2,23,0.04601935822212799,0
Domogled 1.2,24,0.04654498044328548,0
Domogled 1.2,25,0.04593977294755203,0
Domogled 1.2,26,0.04591691134551945,0
Domogled 1.2,27,0.04620738778963873,0
Domogled 1.2,28,0.04578792458833825,0
Domogled 1.2,29,0.04549678927950418,0
Domogled 1.2,30,0.04572222942716797,0
Domogled 1.2,31,0.04630385019670602,0
Domogled 1.2,32,0.046339878350880825,0
Domogled 1.2,33,0.046539161391360384,0
Domogled 1.2,34,0.04678885211752648,0
Dookious 1.573c,1,0.06047813722004977,0
Dookious 1.573c,2,0.043693030521253125,0
Dookious 1.573c,3,0.04347168837393653,0
Dookious 1.573c,4,0.04285100207729098,0
Dookious 1.573c,5,0.03642619273016672,0
Dookious 1.573c,6,0.03194645747153553,0
Dookious 1.573c,7,0.040881382846783415,0
Dookious 1.573c,8,0.04205829338285652,0
Dookious 1.573c,9,0.0370942150813686,0
Dookious 1.573c,10,0.03421213202336984,0
Dookious 1.573c,11,0.03249743703884369,0
Dookious 1.573c,12,0.030498260024080737,0
Dookious 1.573c,13,0.0359291487496034,0
Dookious 1.573c,14,0.03538567210192378,0
Dookious 1.573c,15,0.03215746130774422,0
Dookious 1.573c,16,0.03346435245556523,0
Dookious 1.573c,17,0.0332629916370738,0
Dookious 1.573c,18,0.03457825935595793,0
Dookious 1.573c,19,0.03370320166957508,0
Dookious 1.573c,20,0.03621608468848048,0
Dookious 1.573c,21,0.038531740289871275,0
Dookious 1.573c,22,0.038779535915662744,0
Dookious 1.573c,23,0.040090697516149465,0
Dookious 1.573c,24,0.04100514617920614,0
Dookious 1.573c,25,0.04310283102547352,0
Dookious 1.573c,26,0.0421032774904645,0
Dookious 1.573c,27,0.04057075491463713,0
Dookious 1.573c,28,0.03977405982021731,0
Dookious 1.573c,29,0.03987107557480496,0
Dookious 1.573c,30,0.03878648946421137,0
Dookious 1.573c,31,0.038720732665899704,0
Dookious 1.573c,32,0.03894043133986147,0
Dookious 1.573c,33,0.03910406583859416,0
Dookious 1.573c,34,0.038637006534446905,0
DrussGT 3.1.7,1,0.07958206826235123,0
DrussGT 3.1.7,2,0.05926587023889638,0
DrussGT 3.1.7,3,0.06243106151892847,0
DrussGT 3.1.7,4,0.05924841490946145,0
DrussGT 3.1.7,5,0.0715143692983522,0
DrussGT 3.1.7,6,0.06628140289210915,0
DrussGT 3.1.7,7,0.06979476286338916,0
DrussGT 3.1.7,8,0.07000015692350384,0
DrussGT 3.1.7,9,0.07425583025948626,0
DrussGT 3.1.7,10,0.07779284806833656,0
DrussGT 3.1.7,11,0.07544430339930744,0
DrussGT 3.1.7,12,0.07387863866365832,0
DrussGT 3.1.7,13,0.07303716239877342,0
DrussGT 3.1.7,14,0.07294769533734755,0
DrussGT 3.1.7,15,0.07204032719711798,0
DrussGT 3.1.7,16,0.07340782419894573,0
DrussGT 3.1.7,17,0.0723529254648422,0
DrussGT 3.1.7,18,0.07090131955493242,0
DrussGT 3.1.7,19,0.07087643375372629,0
DrussGT 3.1.7,20,0.0700042529253421,0
DrussGT 3.1.7,21,0.07162033561956496,0
DrussGT 3.1.7,22,0.07043729357662923,0
DrussGT 3.1.7,23,0.07068178430742797,0
DrussGT 3.1.7,24,0.07122652966236578,0
DrussGT 3.1.7,25,0.07275999895677351,0
DrussGT 3.1.7,26,0.07232376503109397,0
DrussGT 3.1.7,27,0.07309731685495577,0
DrussGT 3.1.7,28,0.07488403943565522,0
DrussGT 3.1.7,29,0.07477100996053995,0
DrussGT 3.1.7,30,0.07414409975864414,0
DrussGT 3.1.7,31,0.07339744432018705,0
DrussGT 3.1.7,32,0.07231610749416953,0
DrussGT 3.1.7,33,0.07582333563720342,0
DrussGT 3.1.7,34,0.07757532104969292,0
Engineer 0.5.4,1,0.07452782031648801,0
Engineer 0.5.4,2,0.07516656646093817,0
Engineer 0.5.4,3,0.08152827918170878,0
Engineer 0.5.4,4,0.08964469378214118,0
Engineer 0.5.4,5,0.09160235207644249,0
Engineer 0.5.4,6,0.10454932961326824,1
Engineer 0.5.4,7,0.11193216373491613,1
Engineer 0.5.4,8,0.11019138194199836,1
Engineer 0.5.4,9,0.10936353150886023,1
Engineer 0.5.4,10,0.11235848609729525,1
Engineer 0.5.4,11,0.11392187231113406,1
Engineer 0.5.4,12,0.11282746912857082,1
Engineer 0.5.4,13,0.11308269792586766,1
Engineer 0.5.4,14,0.11432451324333721,1
Engineer 0.5.4,15,0.11092620010686613,1
Engineer 0.5.4,16,0.11085681459226746,1
Engineer 0.5.4,17,0.10876238244136169,1
Engineer 0.5.4,18,0.10695944218990883,1
Engineer 0.5.4,19,0.10560367195230319,1
Engineer 0.5.4,20,0.10645409682003856,1
Engineer 0.5.4,21,0.10657986708230618,1
Engineer 0.5.4,22,0.10558094543563395,1
Engineer 0.5.4,23,0.105209801581614,1
Engineer 0.5.4,24,0.10443015647837361,1
Engineer 0.5.4,25,0.10330856901580376,1
Engineer 0.5.4,26,0.10406433567316492,1
Engineer 0.5.4,27,0.10417843349796388,1
Engineer 0.5.4,28,0.10527200004357132,1
Engineer 0.5.4,29,0.10544279354510058,1
Engineer 0.5.4,30,0.10526481715827699,1
Engineer 0.5.4,31,0.10580918032969366,1
Engineer 0.5.4,32,0.10462830986965907,1
Engineer 0.5.4,33,0.1036462689536364,1
Engineer 0.5.4,34,0.10444372424446344,1
Firebird 0.25,1,0.11231609920134511,1
Firebird 0.25,2,0.08046812862174753,0
Firebird 0.25,3,0.07816599917138517,0
Firebird 0.25,4,0.08996298715436533,0
Firebird 0.25,5,0.09306065373186506,0
Firebird 0.25,6,0.09573942792649807,0
Firebird 0.25,7,0.09584247672142815,0
Firebird 0.25,8,0.08586061458124121,0
Firebird 0.25,9,0.08676001417936902,0
Firebird 0.25,10,0.08363347351053341,0
Firebird 0.25,11,0.08615276349266497,0
Firebird 0.25,12,0.08545538726106224,0
Firebird 0.25,13,0.08405302269532035,0
Firebird 0.25,14,0.08475809904381333,0
Firebird 0.25,15,0.08694783928428788,0
Firebird 0.25,16,0.08257954797525448,0
Firebird 0.25,17,0.07892334541549201,0
Firebird 0.25,18,0.08165198998532332,0
Firebird 0.25,19,0.0797916243826534,0
Firebird 0.25,20,0.07843557286595261,0
Firebird 0.25,21,0.07959356345866112,0
Firebird 0.25,22,0.08027923211169284,0
Firebird 0.25,23,0.07844274669210431,0
Firebird 0.25,24,0.07851858582020721,0
Firebird 0.25,25,0.07916436944171441,0
Firebird 0.25,26,0.07928131385291365,0
Firebird 0.25,27,0.08002124457820664,0
Firebird 0.25,28,0.08135724817825013,0
Firebird 0.25,29,0.08226199565732786,0
Firebird 0.25,30,0.08185455636691005,0
Firebird 0.25,31,0.0820504231993095,0
Firebird 0.25,32,0.08257918552036203,0
Firebird 0.25,33,0.08354417385738527,0
Firebird 0.25,34,0.0822983491073139,0
